character,reading,meaning,level,level_label,radical,stroke_count
闌,란,가로막을,0,특급,門,9
瓓,란,옥빛,0,특급,玉,17
捋,랄,뽑을/문지를,0,특급,手,7
稂,랑,가라지/강아지풀,0,특급,禾,7
倈,래,올/위로할,0,특급,人,8
勑,래,위로할,0,특급,力,8
騋,래,큰말,0,특급,馬,8
藘,려,꼭두서니,0,특급,艸,15
膂,려,등골뼈,0,특급,肉,10
厲,려,엄할/숫돌,0,특급,厂,13
蠡,려,좀먹을,0,특급,虫,15
酈,력,땅이름,0,특급,邑,19
櫟,력,떡갈나무,0,특급,木,15
鬲,력,솥,0,특급,鬲,0
孌,련,아름다울,0,특급,女,19
栵,렬,산밤나무,0,특급,木,6
蘞,렴,거지덩굴,0,특급,艸,17
蛉,령,고추잠자리,0,특급,虫,5
苓,령,복령(茯苓),0,특급,艸,5
姈,령,여자영리할,0,특급,女,5
昤,령,햇빛,0,특급,日,5
鱧,례,가물치,0,특급,魚,13
壚,로,검은흙,0,특급,土,16
簵,로,대이름,0,특급,竹,13
纑,로,베올,0,특급,糸,16
彔,록,새길,0,특급,彐,5
隴,롱,언덕,0,특급,阜,16
耒,뢰,따비,0,특급,耒,0
罍,뢰,술잔,0,특급,缶,15
敹,료,가릴,0,특급,攴,11
繚,료,동일,0,특급,糸,12
潦,료,장마,0,특급,水,12
摟,루,안을,0,특급,手,11
纍,류,가둘,0,특급,糸,15
懰,류,근심할/아름다울,0,특급,心,15
虆,류,덩굴,0,특급,艸,21
藟,류,덩굴풀,0,특급,艸,15
駵,류,월따말,0,특급,馬,7
罶,류,통발,0,특급,网,10
穋,륙,올벼,0,특급,禾,11
僇,륙,욕할,0,특급,人,11
懍,름,두려워할,0,특급,心,13
廩,름,쌀곳간,0,특급,广,13
詈,리,꾸짖을,0,특급,言,5
离,리,도깨비/산신,0,특급,禸,6
纚,리,맬,0,특급,糸,19
梩,리,삼태기,0,특급,木,7
縭,리,신꾸밀,0,특급,糸,11
俐,리,영리할,0,특급,人,7
莅,리,임할,0,특급,艸,7
涖,리,임할,0,특급,水,7
粼,린,물맑을,0,특급,米,8
鄰,린,이웃,0,특급,邑,12
苙,립,구릿대/짐승우리,0,특급,艸,5
禡,마,마제(禡祭),0,특급,示,10
藐,막,멀,0,특급,艸,14
瘼,막,병들,0,특급,疒,11
鏋,만,금,0,특급,金,11
墁,만,바를,0,특급,土,11
秣,말,말먹이,0,특급,禾,5
蘉,망,힘쓸,0,특급,艸,16
韎,매,가죽,0,특급,韋,5
浼,매,더럽힐,0,특급,水,7
脢,매,등심,0,특급,肉,7
苺,매,딸기,0,특급,艸,5
痗,매,병들,0,특급,疒,7
鋂,매,사슬고리,0,특급,金,7
霾,매,흙비,0,특급,雨,14
沬,매,희미할,0,특급,水,5
勱,매,힘쓸,0,특급,力,13
霢,맥,가랑비,0,특급,雨,10
貉,맥,오랑캐,0,특급,豸,6
湎,면,빠질,0,특급,水,9
篾,멸,대껍질,0,특급,竹,11
幭,멸,덮개,0,특급,巾,15
眊,모,눈흐릴/늙을,0,특급,目,4
耄,모,늙을,0,특급,老,4
髦,모,다박머리,0,특급,髟,4
麰,모,보리,0,특급,麥,6
旄,모,털기(旗),0,특급,方,6
蟊,모,해충,0,특급,虫,11
霂,목,가랑비,0,특급,雨,7
楘,목,수레장식,0,특급,木,9
幪,몽,덮을,0,특급,巾,14
饛,몽,밥수북히담을,0,특급,食,14
矇,몽,소경,0,특급,目,14
濛,몽,이슬비,0,특급,水,14
貓,묘,고양이,0,특급,豸,9
茆,묘,띠,0,특급,艸,5
眇,묘,애꾸,0,특급,目,4
髳,무,다박머리,0,특급,髟,5
膴,무,두터울,0,특급,肉,12
儛,무,춤출,0,특급,人,14
廡,무,행랑,0,특급,广,12
纆,묵,노,0,특급,糸,15
炆,문,따뜻할,0,특급,火,4
穈,문,붉은기장,0,특급,禾,11
璊,문,붉은옥,0,특급,玉,11
捫,문,어루만질,0,특급,手,8
麋,미,고라니,0,특급,鹿,6
郿,미,땅이름,0,특급,邑,9
瀰,미,물가득할,0,특급,水,17
敉,미,어루만질,0,특급,攴,6
糜,미,죽,0,특급,米,11
弭,미,활고자,0,특급,弓,6
亹,미,힘쓸,0,특급,亠,20
暋,민,강할/번민할,0,특급,日,9
潣,민,물졸졸흐를,0,특급,水,12
痻,민,병들,0,특급,疒,8
慜,민,총명할,0,특급,心,11
黽,민,힘쓸,0,특급,黽,0
敃,민,힘쓸,0,특급,攴,5
忞,민,힘쓸,0,특급,心,4
鉑,박,금박,0,특급,金,5
亳,박,땅이름,0,특급,亠,8
襮,박,수놓은깃,0,특급,衣,15
鎛,박,호미,0,특급,金,10
鞶,반,가죽띠,0,특급,革,10
胖,반,살찔,0,특급,肉,5
軷,발,길제사,0,특급,車,5
浡,발,우쩍일어날,0,특급,水,7
茇,발,풀뿌리,0,특급,艸,5
雱,방,눈내릴,0,특급,雨,4
幫,방,도울,0,특급,巾,14
逄,방,막을,0,특급,辵,6
魴,방,방어,0,특급,魚,4
厖,방,클,0,특급,厂,7
桮,배,술잔,0,특급,木,7
翻,번,날/뒤칠,0,특급,羽,12
墦,번,무덤,0,특급,土,12
袢,번,속옷,0,특급,衣,5
蘩,번,흰쑥,0,특급,艸,17
杋,범,나무이름,0,특급,木,3
辟,벽,물리칠,0,특급,辛,6
甓,벽,벽돌,0,특급,瓦,13
釆,변,나눌,0,특급,釆,0
籩,변,제기이름,0,특급,竹,19
怲,병,근심할,0,특급,心,5
缾,병,병,0,특급,缶,8
荓,병,풀이름,0,특급,艸,8
迸,병,흩어질,0,특급,辵,8
鴇,보,너새,0,특급,鳥,4
黼,보,수놓은옷,0,특급,黹,7
濮,복,물이름,0,특급,水,14
楅,복,뿔막이,0,특급,木,9
鍑,복,솥,0,특급,金,9
葍,복,순무,0,특급,艸,9
扑,복,칠,0,특급,手,2
葑,봉,순무,0,특급,艸,9
丰,봉,예쁠,0,특급,丨,3
唪,봉,크게웃을,0,특급,口,8
芃,봉,풀무성할,0,특급,艸,3
菶,봉,풀우거질,0,특급,艸,8
桴,부,대마루,0,특급,木,7
罦,부,덮을,0,특급,网,7
裒,부,모을,0,특급,衣,7
鮒,부,붕어,0,특급,魚,5
俘,부,사로잡을,0,특급,人,7
痡,부,앓을,0,특급,疒,7
拊,부,어루만질,0,특급,手,5
紑,부,옷깨끗할,0,특급,糸,4
鈇,부,작두/도끼,0,특급,金,4
芣,부,질경이,0,특급,艸,4
蜉,부,하루살이,0,특급,虫,7
祔,부,합장할,0,특급,示,5
掊,부,헤칠,0,특급,手,8
濆,분,물가,0,특급,水,12
豶,분,불깐[去勢]돼지,0,특급,豕,13
棼,분,어지러울,0,특급,木,8
蕡,분,열매많을,0,특급,艸,12
苯,분,우거질,0,특급,艸,5
幩,분,재갈장식,0,특급,巾,13
饙,분,찐밥,0,특급,食,13
鼖,분,큰북,0,특급,鼓,5
枌,분,흰느릅나무,0,특급,木,4
艴,불,성발끈낼,0,특급,色,5
笰,불,수레가리개,0,특급,竹,5
巿,불,슬갑,0,특급,巾,1
黻,불,슬갑/보불,0,특급,黹,5
芾,불,슬갑/우거질,0,특급,艸,4
咈,불,어길,0,특급,口,5
茀,불,우거질,0,특급,艸,5
紼,불,인끈,0,특급,糸,5
紱,불,인끈,0,특급,糸,5
秠,비,검은기장,0,특급,禾,5
騑,비,곁마,0,특급,馬,8
轡,비,고삐,0,특급,車,15
羆,비,곰,0,특급,网,14
紕,비,꾸밀,0,특급,糸,4
庳,비,낮을,0,특급,广,8
霏,비,눈펄펄내릴,0,특급,雨,8
閟,비,닫을,0,특급,門,5
篚,비,대광주리,0,특급,竹,10
埤,비,더할,0,특급,土,8
棐,비,도지개,0,특급,木,8
仳,비,떠날,0,특급,人,4
鞞,비,마상북,0,특급,革,8
貔,비,맹수이름,0,특급,豸,10
圮,비,무너질,0,특급,土,3
淠,비,물이름,0,특급,水,8
剕,비,발벨,0,특급,刀,8
悱,비,분할,0,특급,心,8
岯,비,산겹칠,0,특급,山,5
奰,비,장대할,0,특급,大,15
